gene	repaired_reporting_group	included_in_main_figure	reason_for_inclusion	magma_summary	snRNA_summary	twas_summary	spatial_summary	bulk_summary	notes
USP40	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=320	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
GNAZ	R4	FALSE	Full matrix retained in supplementary table, not shown in main figure.	fdr05; rank=336	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
MPHOSPH9	R5	TRUE	Representative TWAS proxy-only gene showing supplementary status.	not_magma_prioritized; rank=404	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TMBIM1	R5	TRUE	Representative TWAS proxy-only gene showing supplementary status.	not_magma_prioritized; rank=410	not_assessed	stronger_proxy_annotation_only; multi_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TRPV6	R5	TRUE	Representative TWAS proxy-only gene showing supplementary status.	not_magma_prioritized; rank=504	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TMC4	R5	TRUE	Representative TWAS proxy-only gene showing supplementary status.	not_magma_prioritized; rank=584	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
STMN3	R5	TRUE	Representative TWAS proxy-only gene showing supplementary status.	not_magma_prioritized; rank=1304	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
S100A16	R5	TRUE	Representative TWAS proxy-only gene showing supplementary status.	not_magma_prioritized; rank=1578	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SPI1	R5	FALSE	Full matrix retained in supplementary table, not shown in main figure.	not_magma_prioritized; rank=1581	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
CHAC1	R5	FALSE	Full matrix retained in supplementary table, not shown in main figure.	not_magma_prioritized; rank=1606	not_assessed	stronger_proxy_annotation_only; multi_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ZNF468	R5	FALSE	Full matrix retained in supplementary table, not shown in main figure.	not_magma_prioritized; rank=1934	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
ARL15	R5	FALSE	Full matrix retained in supplementary table, not shown in main figure.	not_magma_prioritized; rank=3029	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
FHL3	R5	FALSE	Full matrix retained in supplementary table, not shown in main figure.	not_magma_prioritized; rank=3280	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
RNASEH2C	R5	FALSE	Full matrix retained in supplementary table, not shown in main figure.	not_magma_prioritized; rank=4280	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
C6orf48	R5	FALSE	Full matrix retained in supplementary table, not shown in main figure.	not_magma_prioritized	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
RP11-298J23.10	R5	FALSE	Full matrix retained in supplementary table, not shown in main figure.	not_magma_prioritized	not_assessed	stronger_proxy_annotation_only; multi_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
TIMM8B	R5	FALSE	Full matrix retained in supplementary table, not shown in main figure.	not_magma_prioritized	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
RP11-116D17.3	R5	FALSE	Full matrix retained in supplementary table, not shown in main figure.	not_magma_prioritized	not_assessed	weak_proxy_annotation_only; one_snp_proxy	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
BPNT1	R6	TRUE	Representative gene selected by repaired group and MAGMA/TWAS ordering.	not_magma_prioritized; rank=408	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
KIF21A	R6	TRUE	Representative gene selected by repaired group and MAGMA/TWAS ordering.	not_magma_prioritized; rank=3677	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
FAM13A	R6	TRUE	Representative gene selected by repaired group and MAGMA/TWAS ordering.	not_magma_prioritized; rank=5283	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
UNC13C	R6	FALSE	Full matrix retained in supplementary table, not shown in main figure.	not_magma_prioritized; rank=8601	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
GRIK2	R6	FALSE	Full matrix retained in supplementary table, not shown in main figure.	not_magma_prioritized; rank=11320	not_assessed	no_positive_twas_evidence; not_fdr_supported	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
SPAG17	R6	FALSE	Full matrix retained in supplementary table, not shown in main figure.	not_magma_prioritized; rank=12361	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
PLA2G6	R6	FALSE	Full matrix retained in supplementary table, not shown in main figure.	not_magma_prioritized; rank=16403	not_assessed	no_positive_twas_evidence; not_tested_or_not_in_model	supplementary_context_only	pending_not_repaired_in_phase4_step2	Main figure row selection is representative only; full evidence matrix is routed to supplement.
